iter	Passed	Remaining
0	274	273869
1	473	236412
2	689	229182
3	835	207918
4	932	185635
5	1071	177583
6	1222	173468
7	1321	163925
8	1433	157898
9	1520	150488
10	1614	145152
11	1704	140298
12	1783	135405
13	1870	131762
14	1948	127983
15	1998	122929
16	2083	120497
17	2181	119028
18	2276	117541
19	2389	117071
20	2519	117471
21	2559	113787
22	2668	113353
23	2713	110329
24	2797	109084
25	2873	107658
26	2981	107447
27	3065	106433
28	3176	106345
29	3279	106026
30	3311	103504
31	3455	104540
32	3633	106472
33	3847	109318
34	4023	110941
35	4162	111460
36	4305	112048
37	4437	112334
38	4589	113084
39	4743	113844
40	4843	113288
41	4967	113297
42	5072	112903
43	5170	112350
44	5257	111568
45	5374	111471
46	5418	109862
47	5525	109582
48	5621	109098
49	5749	109243
50	5852	108902
51	5912	107796
52	6008	107360
53	6118	107191
54	6226	106975
55	6272	105733
56	6371	105414
57	6400	103960
58	6474	103262
59	6564	102836
60	6630	102073
61	6710	101530
62	6816	101377
63	6976	102024
64	7175	103222
65	7316	103533
